"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club"
"Luís Leal","https://www.transfermarkt.com/luis-leal/profil/spieler/158419","22/23","Torn muscle bundle",2023-04-05,2023-04-10,"5 days","1","Arsenal FC"
"Francisco Fydriszewski","https://www.transfermarkt.com/francisco-fydriszewski/profil/spieler/337921","17/18","Cruciate ligament tear",2018-01-07,2018-07-07,"181 days",NA,NA
"Alexis Rodríguez","https://www.transfermarkt.com/alexis-rodriguez/profil/spieler/553423","23/24","Muscle injury",2024-02-15,2024-02-29,"14 days","2","FC Ararat-Armenia "
"Zé Turbo","https://www.transfermarkt.com/ze-turbo/profil/spieler/340538","19/20","unknown injury",2020-07-26,2020-07-29,"3 days","1","Grasshopper Club Zurich"
"Leonel Galeano","https://www.transfermarkt.com/leonel-galeano/profil/spieler/124244","22/23","Knee injury",2023-04-02,2023-04-29,"27 days","5","FBC Melgar"
"Leonel Galeano","https://www.transfermarkt.com/leonel-galeano/profil/spieler/124244","22/23","Hamstring strain",2022-07-25,2022-08-10,"16 days","2","FBC Melgar"
"Leonel Galeano","https://www.transfermarkt.com/leonel-galeano/profil/spieler/124244","21/22","Quarantine",2022-02-01,2022-03-03,"30 days","4","FBC Melgar"
"Lucas Kruspzky","https://www.transfermarkt.com/lucas-kruspzky/profil/spieler/113131","18/19","Ligament injury",2018-06-28,2018-12-28,"183 days","16","CA Aldosivi"
"Emanuel Iñiguez","https://www.transfermarkt.com/emanuel-iniguez/profil/spieler/542138","20/21","Knock",2021-11-22,2021-11-24,"2 days","1","CA Aldosivi"
"Emanuel Iñiguez","https://www.transfermarkt.com/emanuel-iniguez/profil/spieler/542138","20/21","minor knock",2021-10-15,2021-10-18,"3 days","1","CA Aldosivi"
"Emanuel Iñiguez","https://www.transfermarkt.com/emanuel-iniguez/profil/spieler/542138","20/21","minor knock",2021-05-07,2021-05-10,"3 days","1","CA Aldosivi"
"Emanuel Iñiguez","https://www.transfermarkt.com/emanuel-iniguez/profil/spieler/542138","19/20","Cruciate ligament injury",2019-11-12,2020-03-10,"119 days","11","CA Aldosivi"
"Emanuel Iñiguez","https://www.transfermarkt.com/emanuel-iniguez/profil/spieler/542138","18/19","Knock",2019-02-01,2019-02-05,"4 days","1","CA Aldosivi"
"Emanuel Iñiguez","https://www.transfermarkt.com/emanuel-iniguez/profil/spieler/542138","18/19","Knock",2018-09-13,2018-09-16,"3 days","1","CA Aldosivi"
"Dardo Miloc","https://www.transfermarkt.com/dardo-miloc/profil/spieler/118375","23/24","Inflammation in the knee",2023-10-14,2023-12-04,"51 days","6","CA Central Córdoba (SdE)"
"Federico Gino","https://www.transfermarkt.com/federico-gino/profil/spieler/273130","23/24","bruise",2023-11-11,2023-11-27,"16 days","2","PAS Giannina"
"Federico Gino","https://www.transfermarkt.com/federico-gino/profil/spieler/273130","17/18","Broken finger",2017-10-09,2017-11-22,"44 days","5","CA All Boys"
"Juan Galeano","https://www.transfermarkt.com/juan-galeano/profil/spieler/196159","20/21","Corona virus",2021-04-15,2021-05-01,"16 days","2","CA Central Córdoba (SdE)"
"Javier Iritier","https://www.transfermarkt.com/javier-iritier/profil/spieler/471654","19/20","unknown injury",2019-11-27,2019-12-09,"12 days","2","Apollon Smyrnis"
"Arián Pucheta","https://www.transfermarkt.com/arian-pucheta/profil/spieler/496405","19/20","Leg injury",2019-10-01,2019-11-22,"52 days","6","CA San Martín (San Juan)"
"Arián Pucheta","https://www.transfermarkt.com/arian-pucheta/profil/spieler/496405","17/18","Leg injury",2017-10-18,2018-05-01,"195 days","19","CA San Martín (San Juan)"
"Francisco Álvarez","https://www.transfermarkt.com/francisco-alvarez/profil/spieler/565766","23/24","Fever",2024-04-19,2024-04-24,"5 days","2","AA Argentinos Juniors"
"Francisco Álvarez","https://www.transfermarkt.com/francisco-alvarez/profil/spieler/565766","22/23","unknown injury",2022-08-20,2022-10-11,"52 days","11","CA Patronato"
"Federico Milo","https://www.transfermarkt.com/federico-milo/profil/spieler/283395","22/23","Adductor injury",2023-04-15,2023-06-24,"70 days","8","Sport Boys Association"
"Gianni Rodríguez","https://www.transfermarkt.com/gianni-rodriguez/profil/spieler/189447","17/18","Knock",2017-09-11,2017-09-15,"4 days","1","IA Sud América "
"Gianni Rodríguez","https://www.transfermarkt.com/gianni-rodriguez/profil/spieler/189447","17/18","Knock",2017-06-28,2017-07-03,"5 days","1","CA Cerro"
"Alex Silva","https://www.transfermarkt.com/alex-silva/profil/spieler/203018","20/21","Corona virus",2021-05-17,2021-06-07,"21 days","3","CA Progreso"
"Alex Silva","https://www.transfermarkt.com/alex-silva/profil/spieler/203018","17/18","Knock",2018-02-01,2018-02-08,"7 days","1","CA Progreso"
