"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club"
"Vladimir","https://www.transfermarkt.com/vladimir/profil/spieler/98930","22/23","Knee problems",2022-09-04,2022-09-27,"23 days","3","Santos FC"
"Vladimir","https://www.transfermarkt.com/vladimir/profil/spieler/98930","22/23","muscular problems",2022-11-10,2023-01-15,"66 days","2","Avaí FC"
"John Victor","https://www.transfermarkt.com/john-victor/profil/spieler/432914","23/24","muscular problems",2023-10-30,2023-11-15,"16 days","3","Real Valladolid CF"
"John Victor","https://www.transfermarkt.com/john-victor/profil/spieler/432914","21/22","Meniscus injury",2021-08-03,2021-12-01,"120 days","27","Santos FC"
"John Victor","https://www.transfermarkt.com/john-victor/profil/spieler/432914","20/21","Corona virus",2021-01-10,2021-01-17,"7 days","3","Santos FC"
"Gustavo Henrique","https://www.transfermarkt.com/gustavo-henrique/profil/spieler/208681","22/23","Hamstring injury",2022-10-27,2022-11-25,"29 days","5","Fenerbahce"
"Gustavo Henrique","https://www.transfermarkt.com/gustavo-henrique/profil/spieler/208681","20/21","Ill",2020-10-21,2020-10-23,"2 days","1","CR Flamengo"
"Gustavo Henrique","https://www.transfermarkt.com/gustavo-henrique/profil/spieler/208681","20/21","Ill",2020-09-27,2020-10-04,"7 days","3","CR Flamengo"
"Lucas Veríssimo","https://www.transfermarkt.com/lucas-verissimo/profil/spieler/411662","22/23","Ill",2022-11-19,2022-11-22,"3 days","1","SL Benfica"
"Lucas Veríssimo","https://www.transfermarkt.com/lucas-verissimo/profil/spieler/411662","21/22","Cruciate ligament tear",2021-11-08,2022-09-24,"320 days","47","SL Benfica"
"Lucas Veríssimo","https://www.transfermarkt.com/lucas-verissimo/profil/spieler/411662","20/21","Muscle injury",2021-05-20,2021-05-31,"11 days","1","SL Benfica"
"Felipe Aguilar","https://www.transfermarkt.com/felipe-aguilar/profil/spieler/260377","23/24","Torn muscle bundle",2024-02-08,2024-02-22,"14 days","3","CA Independiente"
"Felipe Aguilar","https://www.transfermarkt.com/felipe-aguilar/profil/spieler/260377","22/23","Muscle injury",2023-04-03,2023-04-28,"25 days","4","Club Atlético Lanús"
"Felipe Aguilar","https://www.transfermarkt.com/felipe-aguilar/profil/spieler/260377","21/22","ankle sprain",2022-03-18,2022-06-01,"75 days","14","Atlético Nacional"
"Felipe Aguilar","https://www.transfermarkt.com/felipe-aguilar/profil/spieler/260377","21/22","Muscle injury",2021-08-25,2021-09-25,"31 days","8","Atlético Nacional"
"Felipe Aguilar","https://www.transfermarkt.com/felipe-aguilar/profil/spieler/260377","23/24","Torn muscle bundle",2024-02-08,2024-02-22,"14 days","3","Colombia"
"Luan Peres","https://www.transfermarkt.com/luan-peres/profil/spieler/347913","23/24","Knee surgery",2023-10-04,2024-05-27,"236 days","44","Fenerbahce"
"Luan Peres","https://www.transfermarkt.com/luan-peres/profil/spieler/347913","23/24","unknown injury",2023-08-20,2023-09-04,"15 days","4","Fenerbahce"
