"player_age","Overall","Wage","Skill Moves","Contract Valid Until","in_squad","expenditure_euros_seller","income_euros_seller","avg_age_in_seller","expenditure_euros_buyer","income_euros_buyer","avg_age_in_buyer","appearances_2022","goals_2022","proyecto_vendedor","transfer_logaritmo","fisico","esfuerzo","balance_buyer","balance_seller","Preferred Foot","is_loan","window","player_position","league_buyer","same_league","valor_league_seller","nacionalidad","salud"
22.0,64.0,3000.0,2.0,2026.0,29.0,6.55E7,3.555E7,23.781851000984613,6.55E7,3.35E7,22.8,34.0,2.0,3.0,14.50865773852422,4.0,4.0,-3.2E7,-2.995E7,1.0,2.0,1.0,5.0,1.0,1.0,3.0,3.0,3.0
20.0,69.0,5000.0,3.0,2025.0,35.0,6.55E7,1.043E8,23.781851000984613,6.55E7,3.35E7,22.8,24.0,1.0,3.0,13.815510557964274,3.0,7.0,-3.2E7,3.88E7,2.0,1.0,1.0,12.0,1.0,1.0,3.0,2.0,3.0
24.0,78.0,57000.0,3.0,2026.0,32.0,1.195E8,7.05E7,22.6,6.55E7,3.35E7,22.8,39.0,4.0,3.0,13.122363377404328,1.0,8.0,-3.2E7,-4.9E7,1.0,1.0,1.0,7.0,1.0,1.0,3.0,3.0,2.0
19.0,60.0,550.0,2.0,2025.0,10.0,6.55E7,3.0093E7,23.781851000984613,6.55E7,3.35E7,22.8,35.0,7.0,3.0,16.300417207752275,3.0,4.0,-3.2E7,-3.5407E7,1.0,2.0,2.0,9.0,1.0,1.0,2.0,3.0,3.0
20.0,69.0,5000.0,1.0,2025.0,16.0,6.55E7,1.01E7,23.781851000984613,6.55E7,3.35E7,22.8,14.0,0.0,3.0,15.319587954740548,5.0,4.0,-3.2E7,-5.54E7,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0
22.0,71.0,9000.0,3.0,2024.0,50.0,4.56E7,3.11E7,23.781851000984613,4.56E7,6.238E7,22.2,35.0,16.0,3.0,16.349207371921707,3.0,8.0,1.678E7,-1.45E7,1.0,2.0,1.0,9.0,1.0,1.0,2.0,3.0,3.0
26.0,69.0,0.0,1.0,2025.0,48.0,4.56E7,2.01E7,23.781851000984613,4.56E7,6.238E7,22.2,34.0,15.0,3.0,16.349207371921707,3.0,4.0,1.678E7,-2.55E7,1.0,2.0,1.0,9.0,1.0,1.0,2.0,3.0,3.0
22.0,70.0,5000.0,2.0,2024.0,53.0,4.56E7,5.9E7,25.4,4.56E7,6.238E7,22.2,34.0,2.0,1.0,16.11809565095832,3.0,8.0,1.678E7,1.34E7,2.0,2.0,1.0,12.0,1.0,1.0,3.0,3.0,3.0
24.0,70.0,10000.0,1.0,2026.0,41.0,4.56E7,2.81E7,23.781851000984613,4.56E7,6.238E7,22.2,34.0,0.0,3.0,15.150511624696614,5.0,4.0,1.678E7,-1.75E7,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0
20.0,65.0,2000.0,3.0,2024.0,52.0,4.56E7,1.785E7,23.781851000984613,4.56E7,6.238E7,22.2,27.99624530663329,4.078848560700876,3.0,14.862829552244833,1.0,4.0,1.678E7,-2.775E7,2.0,2.0,1.0,8.0,1.0,1.0,2.0,3.0,3.0
26.0,69.0,0.0,1.0,2025.0,51.0,9.545E7,6.673E7,22.3,4.56E7,6.238E7,22.2,1.0,0.0,3.0,14.50865773852422,3.0,4.0,1.678E7,-2.872E7,1.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,2.0
25.0,69.0,4000.0,2.0,2026.0,48.0,6.92E7,1.1012E8,22.6,4.56E7,6.238E7,22.2,31.0,0.0,3.0,13.815510557964274,3.0,8.0,1.678E7,4.092E7,2.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,3.0
30.0,80.0,0.0,3.0,2031.0,30.0,4.56E7,8.295E7,25.1,4.56E7,6.238E7,22.2,46.0,4.0,1.0,13.527828485512494,3.0,8.0,1.678E7,3.735E7,1.0,1.0,2.0,9.0,1.0,1.0,3.0,3.0,3.0
